x,y,z,real,imag,mag
-2,-15,-3,2.93302e-31,0,8.60259e-62
0,-15,-3,3.0458e-31,0,9.27689e-62
2,-15,-3,2.90756e-31,0,8.45393e-62
4,-15,-3,2.43723e-31,0,5.94008e-62
6,-15,-3,2.38299e-31,0,5.67866e-62
8,-15,-3,1.60994e-31,0,2.59192e-62
10,-15,-3,1.40025e-31,0,1.96071e-62
12,-15,-3,1.22488e-31,0,1.50033e-62
14,-15,-3,6.01527e-32,0,3.61835e-63
16,-15,-3,5.28503e-32,0,2.79316e-63
18,-15,-3,2.34774e-32,0,5.5119e-64
-18,-15,0,1.14818e-31,0,1.31832e-62
-16,-15,0,9.82254e-32,0,9.64822e-63
-14,-15,0,1.55293e-31,0,2.4116e-62
-12,-15,0,1.49044e-31,0,2.22142e-62
-10,-15,0,2.1842e-31,0,4.77073e-62
-8,-15,0,2.05522e-31,0,4.22392e-62
-6,-15,0,2.63993e-31,0,6.96922e-62
-4,-15,0,2.80814e-31,0,7.88563e-62
-2,-15,0,3.0008e-31,0,9.00479e-62
0,-15,0,3.11527e-31,0,9.70493e-62
2,-15,0,3.21155e-31,0,1.03141e-61
4,-15,0,3.04465e-31,0,9.26988e-62
6,-15,0,1.68833e-31,0,2.85046e-62
8,-15,0,1.85081e-31,0,3.4255e-62
10,-15,0,1.85631e-31,0,3.4459e-62
12,-15,0,9.19565e-32,0,8.456e-63
14,-15,0,6.35554e-32,0,4.03929e-63
16,-15,0,5.72826e-32,0,3.2813e-63
18,-15,0,3.04974e-32,0,9.30092e-64
-18,-15,3,6.90424e-32,0,4.76685e-63
-16,-15,3,7.01505e-32,0,4.92109e-63
-14,-15,3,1.60551e-31,0,2.57765e-62
-12,-15,3,1.62586e-31,0,2.64341e-62
-10,-15,3,1.84337e-31,0,3.39803e-62
-8,-15,3,2.13771e-31,0,4.5698e-62
-6,-15,3,2.26444e-31,0,5.12767e-62
-4,-15,3,2.68837e-31,0,7.22733e-62
-2,-15,3,2.91154e-31,0,8.47706e-62
0,-15,3,2.96068e-31,0,8.76563e-62
2,-15,3,3.25654e-31,0,1.06051e-61
4,-15,3,2.31146e-31,0,5.34284e-62
6,-15,3,2.18205e-31,0,4.76133e-62
