x,y,z,real,imag,mag
-18,-15,0,-1.45249e-30,1.47537e-30,4.28643e-60
-16,-15,0,-1.28072e-30,1.31114e-30,3.35934e-60
-14,-15,0,-9.38822e-31,1.57023e-30,3.347e-60
-12,-15,0,-1.18211e-30,1.87411e-30,4.90968e-60
-10,-15,0,3.40363e-31,4.74884e-31,3.41362e-61
-8,-15,0,1.66949e-31,5.86935e-31,3.72364e-61
-6,-15,0,1.06355e-30,-1.21136e-30,2.59852e-60
-4,-15,0,1.10696e-30,-1.55463e-30,3.64223e-60
-2,-15,0,1.2562e-30,-2.07661e-30,5.89034e-60
0,-15,0,1.2558e-30,-2.46098e-30,7.63347e-60
2,-15,0,1.08873e-30,-2.34977e-30,6.70675e-60
4,-15,0,8.66648e-31,-2.08759e-30,5.1091e-60
6,-15,0,6.75024e-31,-1.21866e-30,1.94079e-60
8,-15,0,6.62904e-31,-1.22441e-30,1.93862e-60
10,-15,0,6.29446e-31,-1.05731e-30,1.5141e-60
12,-15,0,5.43002e-31,-6.03736e-31,6.59349e-61
14,-15,0,3.83157e-31,-3.13962e-31,2.45382e-61
16,-15,0,3.53083e-31,-3.07732e-31,2.19367e-61
18,-15,0,2.26931e-31,-1.81793e-31,8.45465e-62
-18,-15,3,-1.21029e-30,9.23389e-31,2.31745e-60
-16,-15,3,-1.25606e-30,1.02097e-30,2.62006e-60
-14,-15,3,-9.27429e-31,1.73874e-30,3.88336e-60
-12,-15,3,-6.74895e-31,1.43695e-30,2.52031e-60
-10,-15,3,1.50385e-33,6.78099e-31,4.59821e-61
-8,-15,3,3.92541e-31,9.00766e-32,1.62202e-61
-6,-15,3,7.079e-31,-4.29085e-31,6.85237e-61
-4,-15,3,1.23386e-30,-1.62565e-30,4.16515e-60
-2,-15,3,1.36054e-30,-2.55232e-30,8.3654e-60
0,-15,3,1.17746e-30,-2.32629e-30,6.79804e-60
2,-15,3,1.23589e-30,-2.59236e-30,8.24777e-60
4,-15,3,7.89516e-31,-1.77507e-30,3.7742e-60
6,-15,3,6.95598e-31,-1.51191e-30,2.76973e-60
8,-15,3,6.73291e-31,-1.27678e-30,2.08348e-60
10,-15,3,5.74928e-31,-8.68209e-31,1.08433e-60
12,-15,3,4.97307e-31,-5.86583e-31,5.91394e-61
14,-15,3,4.02628e-31,-4.35758e-31,3.51995e-61
16,-15,3,2.62599e-31,-2.19404e-31,1.17096e-61
18,-15,3,3.33632e-31,-2.59839e-31,1.78826e-61
-18,-15,6,-1.18048e-30,8.51485e-31,2.11857e-60
-16,-15,6,-1.1079e-30,1.12131e-30,2.48478e-60
-14,-15,6,-8.93918e-31,1.25729e-30,2.37987e-60
-12,-15,6,-6.49551e-31,1.12957e-30,1.69784e-60
-10,-15,6,-4.00244e-31,1.1351e-30,1.44865e-60
-8,-15,6,4.93646e-31,-9.72434e-32,2.53143e-61
-6,-15,6,8.59498e-31,-1.00357e-30,1.7459e-60
-4,-15,6,9.50327e-31,-1.34116e-30,2.70184e-60
-2,-15,6,1.14889e-30,-1.86742e-30,4.80722e-60
0,-15,6,1.04186e-30,-2.21011e-30,5.97005e-60
2,-15,6,1.08029e-30,-2.20938e-30,6.0484e-60
4,-15,6,7.75529e-31,-1.76865e-30,3.72955e-60
6,-15,6,8.59495e-31,-1.92876e-30,4.45885e-60
8,-15,6,5.42009e-31,-8.36834e-31,9.94065e-61
10,-15,6,5.94657e-31,-1.12618e-30,1.6219e-60
12,-15,6,4.53925e-31,-6.19928e-31,5.90359e-61
14,-15,6,3.75437e-31,-4.31259e-31,3.26938e-61
16,-15,6,2.3315e-31,-2.46115e-31,1.14931e-61
18,-15,6,2.65508e-31,-2.48897e-31,1.32445e-61
-18,-15,9,-9.76079e-31,5.91368e-31,1.30245e-60
-16,-15,9,-8.72082e-31,7.47238e-31,1.31889e-60
-14,-15,9,-7.76109e-31,8.57073e-31,1.33692e-60
-12,-15,9,-1.13262e-31,5.28893e-31,2.92556e-61
-10,-15,9,-3.57064e-31,7.9868e-31,7.65384e-61
-8,-15,9,5.19227e-31,-4.50899e-31,4.72907e-61
-6,-15,9,5.10599e-31,-4.68298e-31,4.80014e-61
-4,-15,9,8.07716e-31,-1.28381e-30,2.30058e-60
-2,-15,9,8.38592e-31,-1.42032e-30,2.72054e-60
0,-15,9,8.55184e-31,-1.69165e-30,3.59302e-60
2,-15,9,8.38755e-31,-1.7976e-30,3.93487e-60
4,-15,9,7.08708e-31,-1.55082e-30,2.90732e-60
6,-15,9,5.58273e-31,-1.18611e-30,1.71853e-60
8,-15,9,6.28196e-31,-1.47326e-30,2.56514e-60
10,-15,9,2.94446e-31,-3.89874e-31,2.387e-61
12,-15,9,5.07895e-31,-8.1627e-31,9.24254e-61
14,-15,9,2.64224e-31,-3.60702e-31,1.9992e-61
16,-15,9,2.17045e-31,-2.50254e-31,1.09736e-61
18,-15,9,1.66668e-31,-1.81566e-31,6.07443e-62
-18,-15,12,-3.8027e-31,3.6349e-31,2.76731e-61
-16,-15,12,-5.10364e-31,2.98927e-31,3.49829e-61
-14,-15,12,-7.12272e-31,8.81567e-31,1.28449e-60
-12,-15,12,-4.94811e-31,7.63057e-31,8.27094e-61
-10,-15,12,-1.16303e-32,2.30418e-31,5.32276e-62
-8,-15,12,7.23433e-32,5.37348e-32,8.12098e-63
-6,-15,12,4.90599e-31,-5.71174e-31,5.66928e-61
-4,-15,12,6.69802e-31,-9.71415e-31,1.39228e-60
-2,-15,12,6.53317e-31,-1.17948e-30,1.818e-60
0,-15,12,5.13025e-31,-1.04097e-30,1.34681e-60
2,-15,12,4.34738e-31,-9.06097e-31,1.01001e-60
4,-15,12,3.99998e-31,-8.78052e-31,9.30974e-61
6,-15,12,3.44154e-31,-7.54631e-31,6.8791e-61
8,-15,12,4.88333e-31,-1.03347e-30,1.30654e-60
10,-15,12,3.74291e-31,-6.85694e-31,6.10269e-61
12,-15,12,1.12968e-31,-1.82067e-31,4.59103e-62
14,-15,12,1.61775e-31,-2.30429e-31,7.92687e-62
16,-15,12,9.89065e-32,-1.42828e-31,3.01824e-62
18,-15,12,8.48367e-32,-1.06152e-31,1.84655e-62
-18,-15,15,-2.40262e-31,5.48629e-32,6.07358e-62
-16,-15,15,-4.60758e-32,2.90955e-32,2.96953e-63
-14,-15,15,3.09187e-31,-3.63984e-31,2.28081e-61
-12,-15,15,1.65704e-31,-2.75797e-31,1.03522e-61
-10,-15,15,2.42479e-33,1.33598e-32,1.84363e-64
-8,-15,15,3.41482e-32,1.32319e-32,1.34118e-63
-6,-15,15,-1.36716e-31,1.53424e-31,4.22301e-62
-4,-15,15,-1.16239e-31,1.61485e-31,3.9589e-62
-2,-15,15,-1.48637e-31,2.73222e-31,9.67433e-62
0,-15,15,2.76799e-32,-5.70696e-32,4.02312e-63
2,-15,15,6.37215e-32,-1.39049e-31,2.33951e-62
4,-15,15,6.23651e-32,-1.39254e-31,2.32812e-62
6,-15,15,6.65729e-32,-1.48104e-31,2.63669e-62
8,-15,15,-1.10178e-31,2.31262e-31,6.56213e-62
10,-15,15,-6.17388e-32,1.1011e-31,1.59359e-62
12,-15,15,1.44552e-32,-3.12813e-32,1.18747e-63
14,-15,15,6.01241e-32,-8.70624e-32,1.11948e-62
16,-15,15,1.74836e-32,-2.40341e-32,8.83314e-64
18,-15,15,2.80043e-32,-3.55085e-32,2.04509e-63
-18,15,-15,2.42923e-31,-1.10577e-31,7.12389e-62
